GaiaDR3Id,Gaia-RA,Gaia-DEC,Gaia-G,Gaia-BP,Gaia-RP,plx,plx-err,pmra,pmra-err,pmdec,pmdec-err,ellr,Flamesfield,SpecName,N-Spec,combSN,aveVel,vel-err,vel-var,aveFeH,feh-err,feh-var,z,mem,feh-rel
5003196717232289280,14.9118318164,-33.8429697857,19.6329,20.0395,19.0036,0.5807,0.3484,0.287,0.287,-0.114,0.2,0.2343,2018.asa.c17,AS5185,1,10.23,110.04,1.98,0.0,-1.65,0.308,0.0,3.529,m,1
5003191666350422784,14.9132161129,-34.0047777179,20.0016,20.4797,19.4703,-0.6715,0.4245,-0.173,0.319,0.111,0.241,0.4572,2003.Scl07,scl_07_144,1,7.6,118.55,1.62,0.0,-1.47,0.414,0.0,3.241,m,1
5003199466011449088,14.9140243579,-33.7539227612,19.8057,20.2874,19.2296,0.1125,0.3654,0.044,0.333,-0.444,0.219,0.1308,2018.asa.c17,AS5399,1,10.98,103.03,1.67,0.0,-0.19,0.256,0.0,2.102,m,1
5003199259853008384,14.9184317855,-33.7644967111,19.6085,20.1543,19.0382,-0.1729,0.31,-0.1,0.28,-0.024,0.19,0.1375,2018.asa.c17,AS5166,1,8.98,109.12,1.81,0.0,-1.25,0.33,0.0,0.975,m,1
5027236130224058880,14.9193406133,-33.5166384808,19.1425,19.5227,18.5736,-0.3401,0.2953,-0.07,0.27,-0.043,0.164,0.2869,2006.gb108a,scl098tor_,1,11.17,94.55,1.87,0.0,-2.4,0.358,0.0,1.539,m,1
5003211908533420288,14.9204274783,-33.6736909574,19.735,20.1552,19.1393,0.6772,0.3899,0.621,0.361,-0.454,0.236,0.1069,2018.asa.c17,AS5312,1,7.7,127.83,2.06,0.0,-1.6,0.41,0.0,4.128,m,1
5003191700710164736,14.9219655099,-33.9979437847,19.8349,20.3139,19.2325,0.5611,0.3805,0.665,0.302,-0.444,0.229,0.4449,2003.Scl07,scl_07_140,1,10.25,107.66,1.95,0.0,-1.23,0.292,0.0,5.141,m,1
5027231319860602240,14.9239799502,-33.6534852999,19.8521,20.4259,19.3048,-0.1855,0.3793,-0.676,0.372,-0.045,0.24,0.1187,2018.asa.c17,AS5439,1,10.94,106.0,3.6,0.0,-1.11,0.271,0.0,4.503,m,1
5003211835517054976,14.9255583298,-33.6938481278,19.5183,20.0306,18.9053,-0.1254,0.3381,-0.202,0.295,0.016,0.193,0.0956,2018.asa.c16,AS5080,1,11.98,105.49,1.47,0.0,-1.58,0.258,0.0,1.331,m,1
5003199882623314304,14.9265637133,-33.7293958222,19.7853,20.1921,19.1553,0.4688,0.3565,0.719,0.332,-0.295,0.224,0.1028,2018.asa.c17,AS5365,1,11.72,118.47,1.67,0.0,-0.83,0.246,0.0,4.434,m,1
5027231530316366976,14.9308391837,-33.6309679781,19.6885,20.0374,19.1108,-0.2812,0.3639,0.048,0.333,-0.115,0.209,0.1371,2018.asa.c17,AS5269,1,8.49,111.37,2.26,0.0,-1.87,0.397,0.0,0.649,m,1
5003193281258169216,14.9317580736,-33.9045888695,19.7728,20.292,19.198,0.1809,0.3456,0.231,0.331,-0.12,0.222,0.31,2018.asa.c17,AS5370,1,8.88,99.4,2.17,0.0,-1.64,0.36,0.0,0.515,m,1
5027239360039506688,14.9319520483,-33.4056969645,19.1692,19.6123,18.5842,-0.6264,0.3665,-0.017,0.295,-0.263,0.172,0.4413,2006.gb108a,scl044_04_,2,14.47,111.09,1.597,4.014,-2.06,0.274,0.551,6.399,m,1
5027232762969657984,14.9328937108,-33.5861215092,19.7912,20.1675,19.1674,-0.4843,0.3878,0.265,0.433,-0.252,0.238,0.1906,2018.asa.c17,AS5382,1,7.65,111.24,2.39,0.0,-0.39,0.369,0.0,2.191,m,1
5027231354220347136,14.9347375853,-33.6404175286,19.4598,19.8333,18.951,-0.2672,0.2976,-0.174,0.282,0.032,0.18,0.1251,2018.asa.c17,AS0455,1,10.75,103.4,2.18,0.0,-1.77,0.296,0.0,1.952,m,1
5003200084486774144,14.9360809442,-33.699103559,19.7045,20.1018,19.1942,-0.3205,0.3603,-0.048,0.33,0.179,0.213,0.0863,2018.asa.c17,AS5273,1,8.3,111.5,2.05,0.0,-0.87,0.346,0.0,2.863,m,1
5003198332140023936,14.9370137178,-33.8105440007,19.8161,20.234,19.3173,-0.1324,0.3419,0.297,0.315,-0.064,0.212,0.1803,2018.asa.c17,AS5406,1,7.64,99.23,3.74,0.0,-1.0,0.382,0.0,0.981,m,1
5003199981407546240,14.9406402994,-33.7273867042,19.7644,20.2925,19.187,-0.4936,0.3684,0.422,0.329,-0.056,0.22,0.0903,2018.asa.c17,AS5357,1,9.64,122.75,2.03,0.0,-0.78,0.298,0.0,3.858,m,1
5003198435219255040,14.9409197098,-33.7947105144,19.7692,20.2282,19.1923,0.1704,0.3355,-0.38,0.348,0.04,0.215,0.1582,2018.asa.c17,AS5354,1,10.59,111.1,1.89,0.0,0.54,0.262,0.0,2.582,m,1
5003200015767294592,14.9467309304,-33.7072324929,19.544,20.0423,18.936,-0.4385,0.3313,0.376,0.284,-0.138,0.192,0.0776,2018.asa.c16,AS5100,1,12.83,117.06,1.33,0.0,-0.67,0.221,0.0,3.268,m,1
